"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/protobuf/src/v5.29.3-7ac3e413eb.clean/src/google/protobuf/compiler/subprocess.cc","call function: 329:9-329:14","call in function: Start@301-359","callee=execvp","basic block: 328:7-330:14"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/protobuf/src/v5.29.3-7ac3e413eb.clean/src/google/protobuf/compiler/subprocess.cc","call function: 329:9-329:14","call in function: Start@301-359","callee=execv","basic block: 328:7-330:14"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/protobuf/src/v5.29.3-7ac3e413eb.clean/src/google/protobuf/compiler/subprocess.cc","call function: 332:9-332:13","call in function: Start@301-359","callee=execv","basic block: 331:7-333:14"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/abseil/src/20250127.1-a0a219bf72.clean/absl/synchronization/internal/kernel_timeout.cc","call function: 213:10-213:47","call in function: ToChronoTimePoint@203-214","callee=std::system","basic block: 211:3-213:52"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/fmt/src/11.0.2-c30c0a133f.clean/include/fmt/format-inl.h","call function: 1419:34-1419:63","call in function: format_system_error@1415-1424","callee=std::system","basic block: 1419:34-1419:63"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/fmt/src/11.0.2-c30c0a133f.clean/include/fmt/format-inl.h","call function: 1419:34-1419:63","call in function: format_system_error@1415-1424","callee=std::system","basic block: 1416:65-1420:11"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/fmt/src/11.0.2-c30c0a133f.clean/include/fmt/format-inl.h","call function: 155:3-155:51","call in function: vsystem_error@152-156","callee=std::system","basic block: 153:26-152:27"
"Path: /home/sixsquare/codeQL/projects/depthai-core/3rdparty/foxglove/ws-protocol/cpp/foxglove-websocket/include/foxglove/websocket/websocket_server.hpp","call function: 743:32-743:70","call in function: handleBinaryMessage@709-817","callee=std::system","basic block: 742:7-749:32"
"Path: /home/sixsquare/codeQL/projects/depthai-core/3rdparty/foxglove/ws-protocol/cpp/foxglove-websocket/include/foxglove/websocket/websocket_server.hpp","call function: 1000:5-1000:34","call in function: sendMessage@986-1033","callee=std::system","basic block: 1000:5-1000:33"
"Path: /home/sixsquare/codeQL/projects/depthai-core/3rdparty/foxglove/ws-protocol/cpp/foxglove-websocket/include/foxglove/websocket/websocket_server.hpp","call function: 1000:5-1000:34","call in function: sendMessage@986-1033","callee=std::system","basic block: 1000:5-1000:34"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/fmt/src/11.0.2-c30c0a133f.clean/include/fmt/os.h","call function: 160:10-160:29","call in function: system_category@159-161","callee=std::system","basic block: 159:70-159:27"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/spdlog/src/v1.15.3-425e0a81aa.clean/include/spdlog/pattern_formatter-inl.h","call function: 1005:39-1005:58","call in function: get_time_@1003-1008","callee=std::system","basic block: 1004:57-1005:37"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/spdlog/src/v1.15.3-425e0a81aa.clean/include/spdlog/pattern_formatter-inl.h","call function: 1007:32-1007:51","call in function: get_time_@1003-1008","callee=std::system","basic block: 1007:5-1007:30"
"Path: /home/sixsquare/codeQL/projects/depthai-core/src/pipeline/node/ImageFilters.cpp","call function: 850:19-850:57","call in function: run@774-860","callee=std::system","basic block: 850:9-851:31"
"Path: /home/sixsquare/codeQL/projects/depthai-core/src/pipeline/node/ImageFilters.cpp","call function: 846:19-846:57","call in function: run@774-860","callee=std::system","basic block: 846:9-0:0"
"Path: /home/sixsquare/codeQL/projects/depthai-core/src/pipeline/node/ImageFilters.cpp","call function: 988:19-988:57","call in function: run@947-1000","callee=std::system","basic block: 972:9-990:31"
"Path: /home/sixsquare/codeQL/projects/depthai-core/src/pipeline/node/ImageFilters.cpp","call function: 986:19-986:57","call in function: run@947-1000","callee=std::system","basic block: 972:9-990:31"
"Path: /home/sixsquare/codeQL/projects/depthai-core/src/utility/RecordReplayImpl.hpp","call function: 74:90-74:119","call in function: write@73-87","callee=std::system","basic block: 73:43-83:20"
"Path: /home/sixsquare/codeQL/projects/depthai-core/src/utility/EventsManager.cpp","call function: 218:76-218:105","call in function: sendEvent@208-248","callee=std::system","basic block: 213:66-0:0"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/_cmrc/include/cmrc/cmrc.hpp","call function: 299:13-299:96","call in function: iterate_directory@296-305","callee=std::system","basic block: 298:25-299:96"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/_cmrc/include/cmrc/cmrc.hpp","call function: 302:13-302:86","call in function: iterate_directory@296-305","callee=std::system","basic block: 301:41-302:86"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/_cmrc/include/cmrc/cmrc.hpp","call function: 276:13-276:96","call in function: open@273-280","callee=std::system","basic block: 275:50-276:96"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg_installed/x64-linux/include/boost/system/detail/error_category_impl.hpp","call function: 146:16-146:35","call in function: operator const std::_V2::error_category &@119-157","callee=std::system","basic block: 137:5-146:35"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/abseil/src/20250127.1-a0a219bf72.clean/absl/time/format.cc","call function: 49:7-49:44","call in function: unix_epoch@47-50","callee=std::system","basic block: 47:53-47:49"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/abseil/src/20250127.1-a0a219bf72.clean/absl/time/internal/cctz/src/time_zone_if.h","call function: 71:14-71:51","call in function: FromUnixSeconds@69-73","callee=std::system","basic block: 69:65-69:42"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/abseil/src/20250127.1-a0a219bf72.clean/absl/time/internal/cctz/src/time_zone_if.h","call function: 66:20-66:57","call in function: ToUnixSeconds@64-68","callee=std::system","basic block: 64:71-64:38"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/abseil/src/20250127.1-a0a219bf72.clean/absl/time/time.cc","call function: 56:7-56:44","call in function: unix_epoch@54-57","callee=std::system","basic block: 54:53-54:49"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/abseil/src/20250127.1-a0a219bf72.clean/absl/time/time.cc","call function: 349:10-349:47","call in function: ToChronoTime@345-351","callee=std::system","basic block: 349:3-345:50"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/abseil/src/20250127.1-a0a219bf72.clean/absl/time/time.cc","call function: 342:12-342:49","call in function: FromChrono@340-343","callee=std::system","basic block: 340:66-340:15"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/cpr/src/1.11.0-c5369ac084.clean/cpr/cookies.cpp","call function: 33:28-33:63","call in function: GetExpiresString@30-42","callee=std::system","basic block: 30:52-30:42"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/cpr/src/1.11.0-c5369ac084.clean/cpr/util.cpp","call function: 66:17-66:54","call in function: parseCookies@50-70","callee=std::system","basic block: 58:9-53:56"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/spdlog/src/v1.15.3-425e0a81aa.clean/include/spdlog/logger-inl.h","call function: 180:20-180:36","call in function: err_handler_@171-197","callee=std::system","basic block: 178:9-182:36"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/spdlog/src/v1.15.3-425e0a81aa.clean/include/spdlog/logger-inl.h","call function: 186:47-186:69","call in function: err_handler_@171-197","callee=std::system","basic block: 185:9-196:5"
"Path: /home/sixsquare/codeQL/projects/depthai-core/build/vcpkg/buildtrees/spdlog/src/v1.15.3-425e0a81aa.clean/include/spdlog/details/os-inl.h","call function: 85:12-85:25","call in function: now@76-87","callee=std::system","basic block: 76:67-76:47"
