"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/config.py","call function: 233:46-233:52","call in function: lambda@233-233","callee=uuid.uuid4","basic block: 233:42-233:53"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/config.py","call function: 282:19-282:25","call in function: create_default_config@275-295","callee=uuid.uuid4","basic block: 276:2-295:18"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/config.py","call function: 283:15-283:21","call in function: create_default_config@275-295","callee=uuid.uuid4","basic block: 276:2-295:18"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/config.py","call function: 284:17-284:23","call in function: create_default_config@275-295","callee=uuid.uuid4","basic block: 276:2-295:18"
"path: /home/sixsquare/codeQL/projects/browser-use/examples/apps/news-use/news_monitor.py","call function: 191:11-191:46","call in function: save_article@188-209","callee=hashlib.md5","basic block: 188:18-197:29"
"path: /home/sixsquare/codeQL/projects/browser-use/examples/apps/news-use/news_monitor.py","call function: 232:11-232:39","call in function: run_once@225-248","callee=hashlib.md5","basic block: 232:11-232:51"
"path: /home/sixsquare/codeQL/projects/browser-use/examples/apps/news-use/news_monitor.py","call function: 264:13-264:41","call in function: monitor@251-288","callee=hashlib.md5","basic block: 264:13-264:41"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/browser/profile.py","call function: 423:20-423:31","call in function: set_default_downloads_path@417-433","callee=uuid.uuid4","basic block: 420:11-424:17"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/browser/profile.py","call function: 428:21-428:32","call in function: set_default_downloads_path@417-433","callee=uuid.uuid4","basic block: 428:17-429:18"
"path: /home/sixsquare/codeQL/projects/browser-use/tests/ci/test_agent_sensitive_data.py","call function: 31:48-31:59","call in function: message_manager@25-37","callee=uuid.uuid4","basic block: 26:9-37:2"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/agent/service.py","call function: 1035:16-1035:54","call in function: _replace_urls_in_text@1001-1046","callee=hashlib.md5","basic block: 1033:28-1040:41"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/agent/service.py","call function: 1035:16-1035:54","call in function: replace_url@1006-1044","callee=hashlib.md5","basic block: 1033:28-1040:41"
"path: /home/sixsquare/codeQL/projects/browser-use/tests/ci/test_browser_watchdog_downloads_upload_full_circle.py","call function: 28:14-28:41","call in function: download_upload_server@21-131","callee=hashlib.sha256","basic block: 22:2-131:14"
"path: /home/sixsquare/codeQL/projects/browser-use/tests/ci/test_browser_watchdog_downloads_upload_full_circle.py","call function: 101:14-101:46","call in function: download_upload_server@21-131","callee=hashlib.sha256","basic block: 96:16-103:4"
"path: /home/sixsquare/codeQL/projects/browser-use/tests/ci/test_browser_watchdog_downloads_upload_full_circle.py","call function: 101:14-101:46","call in function: handle_upload@93-104","callee=hashlib.sha256","basic block: 96:16-103:4"
"path: /home/sixsquare/codeQL/projects/browser-use/tests/ci/test_browser_watchdog_downloads_upload_full_circle.py","call function: 217:23-217:56","call in function: test_download_then_upload_with_hash_verification@137-367","callee=hashlib.sha256","basic block: 217:38-217:56"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/dom/views.py","call function: 767:18-767:57","call in function: __hash__@750-770","callee=hashlib.sha256","basic block: 750:15-770:35"
"path: /home/sixsquare/codeQL/projects/browser-use/browser_use/dom/views.py","call function: 778:18-778:67","call in function: parent_branch_hash@772-780","callee=hashlib.sha256","basic block: 772:25-780:35"
