"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/api/baseapi.cpp","call function: 1062:9-1062:15","call in function: operator()@1061-1065","callee=fprintf","basic block: 1061:60-1061:37"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/api/baseapi.cpp","call function: 927:7-927:14","call in function: ProcessPagesFileList@874-952","callee=snprintf","basic block: 927:7-927:14"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/api/baseapi.cpp","call function: 1515:7-1515:14","call in function: GetBoxText@1493-1526","callee=snprintf","basic block: 1515:7-1519:57"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/api/baseapi.cpp","call function: 1057:7-1057:13","call in function: ProcessPagesInternal@1029-1190","callee=fprintf","basic block: 1056:26-1190:1"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/api/baseapi.cpp","call function: 1130:7-1130:13","call in function: ProcessPagesInternal@1029-1190","callee=fprintf","basic block: 1129:12-1190:1"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/api/baseapi.cpp","call function: 270:5-270:11","call in function: PrintFontsTable@266-279","callee=fprintf","basic block: 270:5-268:67"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccmain/equationdetect.cpp","call function: 1394:3-1394:10","call in function: GetOutputTiffName@1391-1396","callee=snprintf","basic block: 1393:3-1391:38"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccmain/recogtraining.cpp","call function: 169:5-169:11","call in function: PrintPath@163-176","callee=fprintf","basic block: 167:36-171:44"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccmain/recogtraining.cpp","call function: 175:3-175:9","call in function: PrintPath@163-176","callee=fprintf","basic block: 175:3-163:21"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccmain/pgedit.cpp","call function: 551:7-551:14","call in function: process_cmd_win_event@391-556","callee=snprintf","basic block: 550:5-553:12"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccmain/pgedit.cpp","call function: 626:11-626:18","call in function: process_image_event@567-633","callee=snprintf","basic block: 625:9-628:16"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 28:3-28:9","call in function: full_print@27-57","callee=fprintf","basic block: 28:3-29:39"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 29:3-29:9","call in function: full_print@27-57","callee=fprintf","basic block: 29:3-30:39"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 30:3-30:9","call in function: full_print@27-57","callee=fprintf","basic block: 30:3-31:42"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 31:3-31:9","call in function: full_print@27-57","callee=fprintf","basic block: 31:3-32:40"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 32:3-32:9","call in function: full_print@27-57","callee=fprintf","basic block: 32:3-33:39"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 33:3-33:9","call in function: full_print@27-57","callee=fprintf","basic block: 33:3-34:39"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 34:3-34:9","call in function: full_print@27-57","callee=fprintf","basic block: 34:3-35:44"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 35:3-35:9","call in function: full_print@27-57","callee=fprintf","basic block: 35:3-36:40"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 36:3-36:9","call in function: full_print@27-57","callee=fprintf","basic block: 36:3-38:14"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 37:3-37:9","call in function: full_print@27-57","callee=fprintf","basic block: 37:3-39:45"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 39:3-39:9","call in function: full_print@27-57","callee=fprintf","basic block: 39:3-40:42"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 40:3-40:9","call in function: full_print@27-57","callee=fprintf","basic block: 40:3-41:36"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 41:3-41:9","call in function: full_print@27-57","callee=fprintf","basic block: 41:3-42:37"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 42:3-42:9","call in function: full_print@27-57","callee=fprintf","basic block: 42:3-43:42"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 43:3-43:9","call in function: full_print@27-57","callee=fprintf","basic block: 43:3-44:40"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 44:3-44:9","call in function: full_print@27-57","callee=fprintf","basic block: 44:3-45:39"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 45:3-45:9","call in function: full_print@27-57","callee=fprintf","basic block: 45:3-46:41"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 46:3-46:9","call in function: full_print@27-57","callee=fprintf","basic block: 46:3-47:37"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 47:3-47:9","call in function: full_print@27-57","callee=fprintf","basic block: 47:3-48:39"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 48:3-48:9","call in function: full_print@27-57","callee=fprintf","basic block: 48:3-49:37"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 49:3-49:9","call in function: full_print@27-57","callee=fprintf","basic block: 49:3-50:38"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 50:3-50:9","call in function: full_print@27-57","callee=fprintf","basic block: 50:3-51:43"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 51:3-51:9","call in function: full_print@27-57","callee=fprintf","basic block: 51:3-52:39"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 52:3-52:9","call in function: full_print@27-57","callee=fprintf","basic block: 52:3-53:39"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 53:3-53:9","call in function: full_print@27-57","callee=fprintf","basic block: 53:3-54:44"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 54:3-54:9","call in function: full_print@27-57","callee=fprintf","basic block: 54:3-56:14"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 55:3-55:9","call in function: full_print@27-57","callee=fprintf","basic block: 55:3-27:20"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccstruct/rejctmap.cpp","call function: 123:5-123:11","call in function: full_print@120-125","callee=fprintf","basic block: 121:38-121:35"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/ambigs.cpp","call function: 266:5-266:12","call in function: ParseAmbiguityLine@217-351","callee=snprintf","basic block: 266:5-268:3"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/tessdatamanager.cpp","call function: 214:3-214:8","call in function: Directory@213-223","callee=printf","basic block: 213:41-216:21"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/tessdatamanager.cpp","call function: 218:7-218:12","call in function: Directory@213-223","callee=printf","basic block: 217:31-220:34"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/unicharset.cpp","call function: 827:7-827:13","call in function: load_via_fgets@784-907","callee=fprintf","basic block: 826:24-904:3"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/unicharset.cpp","call function: 721:3-721:10","call in function: save_to_string@718-754","callee=snprintf","basic block: 718:57-723:22"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/unicharset.cpp","call function: 734:7-734:14","call in function: save_to_string@718-754","callee=snprintf","basic block: 733:52-737:11"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/unicharset.cpp","call function: 673:9-673:15","call in function: unichar_insert@654-693","callee=fprintf","basic block: 672:33-693:1"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/unicharset.cpp","call function: 317:7-317:14","call in function: debug_utf8_str@307-327","callee=snprintf","basic block: 315:20-317:14"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/unicharset.cpp","call function: 320:7-320:14","call in function: debug_utf8_str@307-327","callee=snprintf","basic block: 318:12-320:14"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/ccutil/unicharset.cpp","call function: 1097:3-1097:10","call in function: to_string@1088-1101","callee=snprintf","basic block: 1098:49-1101:1"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/classify/clusttool.cpp","call function: 275:5-275:11","call in function: WritePrototype@271-310","callee=fprintf","basic block: 274:27-275:11"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/classify/clusttool.cpp","call function: 277:5-277:11","call in function: WritePrototype@271-310","callee=fprintf","basic block: 276:10-277:11"
"Path: /home/sixsquare/codeQL/projects/tesseract/src/classify/clusttool.cpp","call function: 280:3-280:9","call in function: WritePrototype@271-310","callee=fprintf","basic block: 279:3-309:3"
