"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/bitcoin-cli.cpp","call function: 518:70-518:82","call in function: ProcessReply@508-670","callee=std::system","basic block: 518:9-0:0"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/util/subprocess.h","call function: 1324:17-1324:22","call in function: execute_child@1278-1340","callee=execvp","basic block: 1324:7-1326:23"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/util/subprocess.h","call function: 1324:17-1324:22","call in function: execute_child@1278-1340","callee=execv","basic block: 1324:7-1326:23"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/logging.cpp","call function: 436:24-436:39","call in function: LogPrintStr_@429-510","callee=std::system","basic block: 433:22-456:9"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/logging.cpp","call function: 461:99-461:114","call in function: LogPrintStr_@429-510","callee=std::system","basic block: 461:5-463:24"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/rpc/net.cpp","call function: 596:73-596:88","call in function: operator()@588-607","callee=std::system","basic block: 589:1-588:12"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/test/argsman_tests.cpp","call function: 947:24-947:94","call in function: test_method@941-1023","callee=std::system","basic block: 947:24-947:94"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/test/argsman_tests.cpp","call function: 1005:31-1005:102","call in function: test_method@941-1023","callee=std::system","basic block: 1005:31-1005:102"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/test/argsman_tests.cpp","call function: 812:24-812:94","call in function: test_method@806-920","callee=std::system","basic block: 812:24-812:94"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/test/argsman_tests.cpp","call function: 902:31-902:102","call in function: test_method@806-920","callee=std::system","basic block: 902:31-902:102"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/test/settings_tests.cpp","call function: 194:24-194:94","call in function: test_method@188-267","callee=std::system","basic block: 194:24-194:94"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/test/settings_tests.cpp","call function: 249:31-249:102","call in function: test_method@188-267","callee=std::system","basic block: 249:31-267:1"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/test/system_ram_tests.cpp","call function: 15:1-15:31","call in function: total_ram_invoker@15-15","callee=system","basic block: 15:1-15:31"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/test/system_tests.cpp","call function: 21:1-21:33","call in function: run_command_invoker@21-21","callee=system","basic block: 21:1-21:33"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/util/time.cpp","call function: 35:13-35:42","call in function: now@26-38","callee=std::system","basic block: 35:13-35:61"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/common/system.cpp","call function: 57:16-57:23","call in function: runCommand@53-63","callee=system","basic block: 57:5-61:12"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/randomenv.cpp","call function: 215:15-215:44","call in function: RandAddDynamicEnv@188-265","callee=std::system","basic block: 189:1-222:43"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/randomenv.cpp","call function: 217:15-217:53","call in function: RandAddDynamicEnv@188-265","callee=std::system","basic block: 189:1-222:43"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/util/exec.cpp","call function: 24:12-24:17","call in function: ExecVp@21-38","callee=execvp","basic block: 22:1-21:10"
"Path: /home/sixsquare/codeQL/projects/bitcoin/src/util/exec.cpp","call function: 24:12-24:17","call in function: ExecVp@21-38","callee=execv","basic block: 22:1-21:10"
